date,type,registration,operator,fatalities,location,country,cat,year
17-APR-2011,Boeing 777-F6N,B-2078,China Cargo Airlines,0.0,China Cargo Airlines,Denmark,A2,2011
25-APR-2011,Lockheed C-130E Hercules,62-1806,USAF,0.0,USAF,USA,O1,2011
25-APR-2011,Lockheed C-130E Hercules,62-1851,USAF,0.0,USAF,USA,O1,2011
26-APR-2011,Cessna 208B Super Cargomaster,N208TF,Martinaire,0.0,Martinaire,USA,A2,2011
28-APR-2011,Embraer EMB-145EP (ERJ-145EP),UR-DNK,Dniproavia,0.0,Dniproavia,Russia,A1,2011
04-MAY-2011,Cessna 208B Grand Caravan,VT-NES,Northeast Shuttles,0.0,Northeast Shuttles,India,A2,2011
05-MAY-2011,BAe-125-700A,N829SE,JODA,0.0,JODA,Mexico,A1,2011
07-MAY-2011,Xian MA60,PK-MZK,Merpati Nusantara,25.0,Merpati Nusantara,Indonesia,A1,2011
10-MAY-2011,Fokker 50,OO-VLE,CityJet,0.0,CityJet,Netherlands,O1,2011
16-MAY-2011,Beech B200 Super King Air,N786SR,North Slope Borough,0.0,North Slope Borough,USA,A1,2011
17-MAY-2011,Antonov An-2R,RA-68122,private,0.0,private,Russia,A1,2011
18-MAY-2011,Saab 340A,LV-CEJ,SOL LÃ­neas AÃ©reas,22.0,SOL LÃ­neas AÃ©reas,Argentina,A1,2011
18-MAY-2011,Boeing 707-321B,N707AR,Omega Air Refueling,0.0,Omega Air Refueling,USA,A1,2011
23-MAY-2011,Cessna 208B Grand Caravan,PT-OSG,MEGA Linhas AÃ©reas,0.0,MEGA Linhas AÃ©reas,Brazil,A1,2011
25-MAY-2011,Embraer Phenom 100,N224MD,JetSuite,0.0,JetSuite,USA,A1,2011
28-MAY-2011,DHC-3T Vazar Turbine Otter,N87AW,Alaska West Air,0.0,Alaska West Air,USA,A2,2011
01-JUN-2011,Eclipse 500,N168TT,Private,0.0,Private,USA,A1,2011
06-JUN-2011,Antonov An-26,TR-LII,"DHL Aviation, opb Solenta Aviation",0.0,"DHL Aviation, opb Solenta Aviation",Gabon,A1,2011
08-JUN-2011,CASA CN-235M-200,AN-204,Ecuador Navy,0.0,Ecuador Navy,Ecuador,A2,2011
08-JUN-2011,BN-2B-26 Islander,D-IOLO,OLT,0.0,OLT,Germany,A2,2011
09-JUN-2011,Cessna 208 Caravan I,C-GUYR,Air Labrador,0.0,Air Labrador,Canada,A2,2011
12-JUN-2011,Douglas DC-6BF,N600UA,Universal Airlines,0.0,Universal Airlines,USA,A1,2011
15-JUN-2011,Beech A100 King Air,N15L,Dynamic Avlease,0.0,Dynamic Avlease,USA,A1,2011
15-JUN-2011,Cessna 525A CitationJet CJ2,N129SG,Deer Horn Aviation,0.0,Deer Horn Aviation,USA,A2,2011
